"state","S1","S2","S3","S4","executionTime"
1,1,0,0,0,33.6800694877528
1,0.999998870097582,9.16814543763182e-16,1.12990241714595e-06,5.64562195802611e-40,32.730924562503
4,2.16940760687805e-13,3.63800536882022e-12,2.20673090553522e-06,0.99999779326524,110.663324653909
1,0.999999070809357,5.14932276899047e-07,4.14258366048536e-07,3.6606640945828e-42,30.1383002274884
1,0.999999978212972,2.97742519966848e-14,2.17869977194918e-08,1.66230501044174e-46,26.0464655634609
1,0.999999965117502,2.50922910492285e-15,3.48824957824689e-08,9.94065957019741e-46,26.8241442360072
3,0.0859151047287129,9.05374741266889e-08,0.914084804733758,5.52668148863007e-14,65.2061219736254
4,1.07140826395073e-13,9.33981786775023e-06,5.8469113298164e-06,0.999984813270695,107.350322865791
4,4.44657092118983e-12,1.94879133542138e-05,3.27546539063722e-05,0.999947757428293,106.565925905102
1,0.999999892217119,5.96734215306374e-08,4.81094591749306e-08,1.01257781186047e-45,26.5252863508576
1,0.999999756240062,3.87901883781593e-14,2.43759898940989e-07,1.62469975052898e-42,30.0901211423543
1,0.999999697590336,2.43838328543472e-13,3.02409420195084e-07,3.69513132974743e-42,30.4578112846289
1,0.999999892276622,1.0770668063662e-13,1.07723269741138e-07,7.24541580513e-44,28.7075684163563
4,1.56564599576707e-11,1.06337989973893e-11,6.16492043921117e-05,0.999938350769318,105.981711049331
1,0.999996751555458,1.79994899598011e-06,1.44849554645666e-06,4.33622350297083e-40,32.2901216205478
1,0.999996900196088,1.48242103730015e-11,3.09978908815242e-06,2.67176013171642e-38,34.5016784022826
1,0.999999997635262,2.40392723742799e-14,2.36471408338045e-09,3.64919060673522e-50,22.4414908022739
1,0.999999901036356,7.73677813719652e-16,9.89636434564022e-08,5.24644404834974e-44,28.5648835174735
1,0.999999985826161,4.62324145979627e-15,1.41738344865366e-08,3.2483389691677e-47,25.3403813622158
1,0.999998187356497,8.48937141679627e-14,1.81264341828515e-06,3.4348948583224e-39,33.5568825155677
4,8.12655027648956e-11,6.6159384890692e-10,0.000220676076464437,0.999779323180676,104.280308521517
2,0.0467162349655528,0.494975276414628,0.458308488619813,6.04043374405737e-15,63.8113445337886
1,0.999998296216982,9.26411739230766e-07,7.77371278787399e-07,2.22569202311482e-42,29.3921616384688
4,1.84892206970649e-11,8.75900751385417e-11,7.01325024477263e-05,0.999929867391473,105.807579969377
1,0.999998653729896,7.46076695839608e-07,6.00193407820202e-07,1.50429789965266e-41,30.7715749567602
1,0.999999753901716,4.88573181319909e-13,2.46097795828264e-07,1.68488460949063e-42,30.1063761267153
1,0.999999865256827,1.09654187258193e-13,1.34743063177913e-07,1.69860969395545e-43,29.084895539824
1,0.999998824555801,5.23596810714939e-13,1.17544367587797e-06,6.56524248990094e-40,32.7997516021175
1,0.999999987759702,4.74058096176552e-14,1.2240250263455e-08,1.86145103101349e-47,25.1004135707834
3,0.0958912136717128,3.15033613788565e-08,0.904108754824888,3.82135606596495e-14,64.9152280534336
4,7.83298022383543e-15,1.04315152474261e-06,6.93747646215774e-07,0.999998263100821,110.374639593335
1,0.583296560605533,0.222347676702843,0.194355762691624,1.25720435013248e-19,56.130694824948
3,0.0765997499428369,0.451530908124937,0.471869341932219,7.13638200817068e-15,63.8984004623542
4,3.25190826803031e-12,3.67302493931449e-05,5.59175923077971e-05,0.999907352155047,105.532369607607
4,4.71559207281148e-13,3.24534567450533e-06,5.72251031659881e-06,0.999991032143537,108.996541548829
3,0.205128142547444,0.418882041466958,0.375989815985599,3.55034704990672e-17,59.9198485504702
2,0.0123497310582681,0.493088419104252,0.494561849837461,1.91083413490707e-14,64.6164997773201
3,0.00798773556001103,0.520739133128802,0.471273131311123,6.41405095793968e-14,65.5496339883291
2,0.00724434255188607,0.494811987509709,0.497943669938308,9.62084676964842e-14,65.92030212676
3,0.0270371904445746,0.517724616840436,0.455238192714988,1.52519764198616e-15,62.5662206400139
4,6.11298029307673e-13,8.45519859680991e-06,1.58886237651002e-05,0.999975656177027,107.484452522311
3,0.1375255392141,0.452687615026173,0.409786845759726,1.6115877509487e-16,61.0294348189995
2,0.0295535619206041,0.490912983099632,0.479533454979763,1.29586765956361e-15,62.4797448550045
3,0.0544507298001631,0.499249171268206,0.44630009893163,1.74411521443233e-16,60.8987098578245
2,0.0158831663615907,0.49161158681075,0.49250524682765,8.89189736711971e-15,64.0060929623231
1,0.999889622226303,6.20477408579201e-05,4.83300328396493e-05,1.71009723259824e-35,36.6001185485669
1,0.999999650582525,5.58581156394128e-11,3.49361616959221e-07,6.40584942703928e-42,30.704586131811
1,0.999999973546916,3.04986554957046e-14,2.64530536205933e-08,3.47448615704847e-46,26.3665081635477
3,0.197198753700844,6.14893422446197e-08,0.80280118480981,2.83424061156114e-15,62.9202967716765
2,0.00287969635317444,0.738868950287782,0.258251353358479,5.64634906321521e-13,67.0395979131286
3,0.0652609309937217,0.266434256756266,0.668304812250012,2.91485435017495e-16,61.411070844363
