"V1" "V2"
"1" 1 0.0770003789160038
"2" 0 0.0770003789160038
"3" 1 0.0825428292538253
"4" 240 0.0825428292538253
"5" 241 3.25241228804365
"6" 241 3.25241228804365
"7" 242 0.0188625018153942
"8" 462 0.0188625018153942
"9" 463 1.38221294619574
"10" 465 1.38221294619574
"11" 466 0.160794669355855
"12" 560 0.160794669355855
"13" 561 1.44665881291828
"14" 562 1.44665881291828
"15" 563 0.580033488917742
"16" 618 0.580033488917742
"17" 619 0.0188358700075231
"18" 711 0.0188358700075231
"19" 712 2.76374782536058
"20" 714 2.76374782536058
"21" 715 0.0807679099844445
"22" 840 0.0807679099844445
"23" 841 3.40844238369783
"24" 844 3.40844238369783
"25" 845 0.0186245013444516
"26" 1000 0.0186245013444516
