"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"1" 1 31.0507729710696 39.757179929743 22.3443660123962 64.0941933782789 67.5545075746402 60.6338791819176 63.9294458661938 67.7024519493764 60.1564397830112 108.273134185099 111.065872831546 105.480395538652
"2" 255 31.0507729710696 39.757179929743 22.3443660123962 64.0941933782789 67.5545075746402 60.6338791819176 63.9294458661938 67.7024519493764 60.1564397830112 108.273134185099 111.065872831546 105.480395538652
"3" 255 44.6036859954981 50.0310737948116 39.1762981961846 73.7197846800597 81.3969131575433 66.0426562025761 74.1888593107343 81.6640906630068 66.7136279584618 115.751743058063 121.235355609917 110.268130506209
"4" 368 44.6036859954981 50.0310737948116 39.1762981961846 73.7197846800597 81.3969131575433 66.0426562025761 74.1888593107343 81.6640906630068 66.7136279584618 115.751743058063 121.235355609917 110.268130506209
"5" 368 39.8280444401666 45.2487847902512 34.407304090082 74.1869784074299 80.9782415291136 67.3957152857462 74.751700432813 80.1359777975923 69.3674230680337 108.392578742565 114.472686504379 102.312470980751
"6" 516 39.8280444401666 45.2487847902512 34.407304090082 74.1869784074299 80.9782415291136 67.3957152857462 74.751700432813 80.1359777975923 69.3674230680337 108.392578742565 114.472686504379 102.312470980751
"7" 516 44.6036859954981 50.0310737948116 39.1762981961846 73.7197846800597 81.3969131575433 66.0426562025761 74.1888593107343 81.6640906630068 66.7136279584618 115.751743058063 121.235355609917 110.268130506209
"8" 678 44.6036859954981 50.0310737948116 39.1762981961846 73.7197846800597 81.3969131575433 66.0426562025761 74.1888593107343 81.6640906630068 66.7136279584618 115.751743058063 121.235355609917 110.268130506209
"9" 678 31.0507729710696 39.757179929743 22.3443660123962 64.0941933782789 67.5545075746402 60.6338791819176 63.9294458661938 67.7024519493764 60.1564397830112 108.273134185099 111.065872831546 105.480395538652
"10" 790 31.0507729710696 39.757179929743 22.3443660123962 64.0941933782789 67.5545075746402 60.6338791819176 63.9294458661938 67.7024519493764 60.1564397830112 108.273134185099 111.065872831546 105.480395538652
"11" 790 44.6036859954981 50.0310737948116 39.1762981961846 73.7197846800597 81.3969131575433 66.0426562025761 74.1888593107343 81.6640906630068 66.7136279584618 115.751743058063 121.235355609917 110.268130506209
"12" 836 44.6036859954981 50.0310737948116 39.1762981961846 73.7197846800597 81.3969131575433 66.0426562025761 74.1888593107343 81.6640906630068 66.7136279584618 115.751743058063 121.235355609917 110.268130506209
"13" 836 44.6036859954981 50.0310737948116 39.1762981961846 73.7197846800597 81.3969131575433 66.0426562025761 74.1888593107343 81.6640906630068 66.7136279584618 115.751743058063 121.235355609917 110.268130506209
"14" 1000 44.6036859954981 50.0310737948116 39.1762981961846 73.7197846800597 81.3969131575433 66.0426562025761 74.1888593107343 81.6640906630068 66.7136279584618 115.751743058063 121.235355609917 110.268130506209
