"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"2" 134 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"3" 134 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"4" 243 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"5" 243 64.5454521277571 69.6600444215723 59.4308598339419 32.7154776829903 41.3092709939794 24.1216843720012 108.079210188984 111.054977668458 105.10344270951
"6" 397 64.5454521277571 69.6600444215723 59.4308598339419 32.7154776829903 41.3092709939794 24.1216843720012 108.079210188984 111.054977668458 105.10344270951
"7" 397 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"8" 623 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"9" 623 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"10" 743 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"11" 743 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"12" 811 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"13" 811 64.5454521277571 69.6600444215723 59.4308598339419 32.7154776829903 41.3092709939794 24.1216843720012 108.079210188984 111.054977668458 105.10344270951
"14" 979 64.5454521277571 69.6600444215723 59.4308598339419 32.7154776829903 41.3092709939794 24.1216843720012 108.079210188984 111.054977668458 105.10344270951
"15" 979 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"16" 1000 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
