"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1001 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"2" 1141 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"3" 1141 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"4" 1391 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"5" 1391 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"6" 1621 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"7" 1621 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"8" 1721 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"9" 1721 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"10" 1851 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"11" 1851 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"12" 2081 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"13" 2081 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"14" 2151 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"15" 2151 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"16" 2281 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"17" 2281 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"18" 2341 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"19" 2341 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"20" 2461 74.6663142455721 79.4541882847867 69.8784402063575 44.38506267929 49.9362819104152 38.8338434481648 116.074321231277 119.565316744595 112.583325717959
"21" 2461 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"22" 2511 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"23" 2511 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"24" 2591 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"25" 2591 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"26" 2631 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"27" 2631 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"28" 2691 74.7100498376373 78.2012368471468 71.2188628281278 40.1835087763102 45.0136708422347 35.3533467103857 109.478094692664 112.558589933057 106.397599452271
"29" 2691 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
"30" 3000 68.5547309930498 73.1215159501797 63.9879460359199 33.9691069330774 39.6196280250523 28.3185858411025 108.044479409172 112.515941178198 103.573017640146
