"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1 29.2010381584987 63.1158361060079 107.625597853912 33.838133810088 65.9359984507318 109.761798086343 24.5639425069094 60.295673761284 105.489397621481
"2" 256 29.2010381584987 63.1158361060079 107.625597853912 33.838133810088 65.9359984507318 109.761798086343 24.5639425069094 60.295673761284 105.489397621481
"3" 256 45.1879099768121 75.7744818599895 116.697987191146 50.2618633613456 81.7007289454341 122.20004352997 40.1139565922786 69.8482347745449 111.195930852322
"4" 375 45.1879099768121 75.7744818599895 116.697987191146 50.2618633613456 81.7007289454341 122.20004352997 40.1139565922786 69.8482347745449 111.195930852322
"5" 375 40.0525168690365 75.1098513510078 108.931235892233 45.0659323798027 78.699588464573 114.333329571877 35.0391013582703 71.5201142374426 103.529142212589
"6" 523 40.0525168690365 75.1098513510078 108.931235892233 45.0659323798027 78.699588464573 114.333329571877 35.0391013582703 71.5201142374426 103.529142212589
"7" 523 45.1879099768121 75.7744818599895 116.697987191146 50.2618633613456 81.7007289454341 122.20004352997 40.1139565922786 69.8482347745449 111.195930852322
"8" 682 45.1879099768121 75.7744818599895 116.697987191146 50.2618633613456 81.7007289454341 122.20004352997 40.1139565922786 69.8482347745449 111.195930852322
"9" 682 29.2010381584987 63.1158361060079 107.625597853912 33.838133810088 65.9359984507318 109.761798086343 24.5639425069094 60.295673761284 105.489397621481
"10" 793 29.2010381584987 63.1158361060079 107.625597853912 33.838133810088 65.9359984507318 109.761798086343 24.5639425069094 60.295673761284 105.489397621481
"11" 793 45.1879099768121 75.7744818599895 116.697987191146 50.2618633613456 81.7007289454341 122.20004352997 40.1139565922786 69.8482347745449 111.195930852322
"12" 999 45.1879099768121 75.7744818599895 116.697987191146 50.2618633613456 81.7007289454341 122.20004352997 40.1139565922786 69.8482347745449 111.195930852322
"13" 999 33.1933579291217 67.3650231061038 107.800397438696 37.7033365429379 71.8311812679749 111.19606676302 28.6833793153055 62.8988649442327 104.404728114372
"14" 1245 33.1933579291217 67.3650231061038 107.800397438696 37.7033365429379 71.8311812679749 111.19606676302 28.6833793153055 62.8988649442327 104.404728114372
"15" 1245 29.2010381584987 63.1158361060079 107.625597853912 33.838133810088 65.9359984507318 109.761798086343 24.5639425069094 60.295673761284 105.489397621481
"16" 1481 29.2010381584987 63.1158361060079 107.625597853912 33.838133810088 65.9359984507318 109.761798086343 24.5639425069094 60.295673761284 105.489397621481
"17" 1481 33.1933579291217 67.3650231061038 107.800397438696 37.7033365429379 71.8311812679749 111.19606676302 28.6833793153055 62.8988649442327 104.404728114372
"18" 1627 33.1933579291217 67.3650231061038 107.800397438696 37.7033365429379 71.8311812679749 111.19606676302 28.6833793153055 62.8988649442327 104.404728114372
"19" 1627 40.0525168690365 75.1098513510078 108.931235892233 45.0659323798027 78.699588464573 114.333329571877 35.0391013582703 71.5201142374426 103.529142212589
"20" 1853 40.0525168690365 75.1098513510078 108.931235892233 45.0659323798027 78.699588464573 114.333329571877 35.0391013582703 71.5201142374426 103.529142212589
"21" 1853 29.2010381584987 63.1158361060079 107.625597853912 33.838133810088 65.9359984507318 109.761798086343 24.5639425069094 60.295673761284 105.489397621481
"22" 1980 29.2010381584987 63.1158361060079 107.625597853912 33.838133810088 65.9359984507318 109.761798086343 24.5639425069094 60.295673761284 105.489397621481
"23" 1980 45.1879099768121 75.7744818599895 116.697987191146 50.2618633613456 81.7007289454341 122.20004352997 40.1139565922786 69.8482347745449 111.195930852322
"24" 2213 45.1879099768121 75.7744818599895 116.697987191146 50.2618633613456 81.7007289454341 122.20004352997 40.1139565922786 69.8482347745449 111.195930852322
"25" 2213 40.0525168690365 75.1098513510078 108.931235892233 45.0659323798027 78.699588464573 114.333329571877 35.0391013582703 71.5201142374426 103.529142212589
"26" 2299 40.0525168690365 75.1098513510078 108.931235892233 45.0659323798027 78.699588464573 114.333329571877 35.0391013582703 71.5201142374426 103.529142212589
"27" 2299 34.6235587843694 74.4402479752898 108.350883836392 40.5510908407159 78.5996211040765 112.857456746977 28.6960267280229 70.2808748465031 103.844310925807
"28" 2492 34.6235587843694 74.4402479752898 108.350883836392 40.5510908407159 78.5996211040765 112.857456746977 28.6960267280229 70.2808748465031 103.844310925807
"29" 2492 45.1879099768121 75.7744818599895 116.697987191146 50.2618633613456 81.7007289454341 122.20004352997 40.1139565922786 69.8482347745449 111.195930852322
"30" 2599 45.1879099768121 75.7744818599895 116.697987191146 50.2618633613456 81.7007289454341 122.20004352997 40.1139565922786 69.8482347745449 111.195930852322
"31" 2599 33.1933579291217 67.3650231061038 107.800397438696 37.7033365429379 71.8311812679749 111.19606676302 28.6833793153055 62.8988649442327 104.404728114372
"32" 2710 33.1933579291217 67.3650231061038 107.800397438696 37.7033365429379 71.8311812679749 111.19606676302 28.6833793153055 62.8988649442327 104.404728114372
"33" 2710 40.0525168690365 75.1098513510078 108.931235892233 45.0659323798027 78.699588464573 114.333329571877 35.0391013582703 71.5201142374426 103.529142212589
"34" 3000 40.0525168690365 75.1098513510078 108.931235892233 45.0659323798027 78.699588464573 114.333329571877 35.0391013582703 71.5201142374426 103.529142212589
