"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1 75.2832376463038 79.0102958251563 71.5561794674513 116.625473586101 121.635176953027 111.615770219175 43.9901239911125 48.0720535765668 39.9081944056582
"2" 241 75.2832376463038 79.0102958251563 71.5561794674513 116.625473586101 121.635176953027 111.615770219175 43.9901239911125 48.0720535765668 39.9081944056582
"3" 241 67.62763250953 71.8946600184336 63.3606050006264 108.131265539031 110.799850674839 105.462680403223 32.7801019429537 37.3278664156051 28.2323374703023
"4" 463 67.62763250953 71.8946600184336 63.3606050006264 108.131265539031 110.799850674839 105.462680403223 32.7801019429537 37.3278664156051 28.2323374703023
"5" 463 73.0606778195482 77.8460569424203 68.2752986966761 108.910538366241 114.303221342867 103.517855389615 39.7687115280429 43.1559647502073 36.3814583058785
"6" 561 73.0606778195482 77.8460569424203 68.2752986966761 108.910538366241 114.303221342867 103.517855389615 39.7687115280429 43.1559647502073 36.3814583058785
"7" 561 67.62763250953 71.8946600184336 63.3606050006264 108.131265539031 110.799850674839 105.462680403223 32.7801019429537 37.3278664156051 28.2323374703023
"8" 712 67.62763250953 71.8946600184336 63.3606050006264 108.131265539031 110.799850674839 105.462680403223 32.7801019429537 37.3278664156051 28.2323374703023
"9" 712 75.2832376463038 79.0102958251563 71.5561794674513 116.625473586101 121.635176953027 111.615770219175 43.9901239911125 48.0720535765668 39.9081944056582
"10" 841 75.2832376463038 79.0102958251563 71.5561794674513 116.625473586101 121.635176953027 111.615770219175 43.9901239911125 48.0720535765668 39.9081944056582
"11" 841 67.62763250953 71.8946600184336 63.3606050006264 108.131265539031 110.799850674839 105.462680403223 32.7801019429537 37.3278664156051 28.2323374703023
"12" 1000 67.62763250953 71.8946600184336 63.3606050006264 108.131265539031 110.799850674839 105.462680403223 32.7801019429537 37.3278664156051 28.2323374703023
